日期,滚动IC,累计均值IC
2023-06-20,-0.06101694915254238,-0.06101694915254238
2023-06-21,-0.07074187274242848,-0.06587941094748542
2023-06-26,-0.06401778271742152,-0.0652588682041308
2023-06-27,-0.058905251458738546,-0.06367046401778273
2023-06-28,-0.06846346207279802,-0.06462906362878579
2023-06-29,-0.07224228952486804,-0.06589793461146616
2023-06-30,-0.06201722700750209,-0.06534354781089986
2023-07-03,-0.06496248958043903,-0.06529591553209227
2023-07-04,-0.07085301472631288,-0.06591337099811677
2023-07-05,-0.06262850791886637,-0.06558488469019173
2023-07-06,-0.06674076132258962,-0.06568996438404608
2023-07-07,-0.08285634898582941,-0.0671204964341947
2023-07-10,-0.0782439566546263,-0.06797614722038174
2023-07-11,-0.05079188663517645,-0.06674870003572422
2023-07-12,-0.029452625729369273,-0.06426229508196722
2023-07-13,-0.0018338427340928037,-0.06036051681022508
2023-07-14,-0.01717143651014171,-0.05781998267492605
2023-07-17,0.010947485412614618,-0.05399956778117379
2023-07-18,0.03878855237565992,-0.04911598250976149
2023-07-19,0.05495971103084191,-0.04391219783273133
2023-07-20,0.055793275909975,-0.039164318130697685
2023-07-21,0.06140594609613783,-0.034592942484023344
2023-07-24,0.06735204223395388,-0.030160551844111295
2023-07-25,0.06135037510419563,-0.026347596554598507
2023-07-26,0.06151708808002223,-0.022833009169213672
2023-07-27,0.06779661016949153,-0.019347254579263475
2023-07-28,0.07179772158933038,-0.015971514721167406
2023-07-31,0.04751319811058628,-0.013704203548604774
2023-08-01,0.01589330369547097,-0.012683599850533196
2023-08-02,-0.023673242567379835,-0.013049921274428085
2023-08-03,-0.0036121144762434015,-0.012745475893841483
2023-08-04,0.010614059460961379,-0.012015490414003894
2023-08-07,-0.017560433453737152,-0.012183518990965508
2023-08-08,-0.037176993609335934,-0.012918621185623461
2023-08-09,0.005779383161989443,-0.012384392489977377
2023-08-10,0.013503751041956101,-0.011665277391868116
2023-08-11,0.04040011114198389,-0.010258104728791035
2023-08-14,0.017838288413448183,-0.009518725961890002
2023-08-15,0.07602111697693804,-0.007325396655766205
2023-08-16,0.091636565712698,-0.004851347596554601
2023-08-17,0.09002500694637401,-0.0025372901686782925
2023-08-18,0.13403723256460132,0.0007144841821140792
2023-08-21,0.1665462628507919,0.004571037174408913
2023-08-22,0.1656571269797166,0.008232084669984086
2023-08-23,0.19244234509586,0.012325646012781329
2023-08-24,0.13720477910530707,0.015040409775662325
2023-08-25,0.16087802167268692,0.018143337688364975
2023-08-28,0.14342873020283414,0.020753450032416416
2023-08-29,0.10186162823006392,0.022408718975225547
2023-08-30,0.10664073353709365,0.024093359266462912
2023-08-31,0.11019727702139485,0.025781671379304715
2023-09-01,0.17838288413448183,0.028716310086135042
2023-09-04,0.21639344262295088,0.03225738805852779
2023-09-05,0.161989441511531,0.03465983349284267
2023-09-06,0.1348707974437344,0.036481851019222515
2023-09-07,0.10625173659349822,0.037727741833048875
2023-09-08,0.08168935815504308,0.03849899825975052
2023-09-11,0.05751597666018339,0.03882687719768902
2023-09-12,0.03078632953598222,0.03869059672884653
2023-09-13,-0.019505418171714372,0.03772066314717051
2023-09-14,-0.07368713531536539,0.03589430579532567
2023-09-15,-0.021894970825229235,0.034962220688542524
2023-09-18,-0.015726590719644346,0.03415763638047606
2023-09-19,0.00016671297582661855,0.03362652820227842
2023-09-20,-0.017004723534315095,0.03284758586786929
2023-09-21,-0.016726868574604058,0.032096457770256055
2023-09-22,-0.011503195332036678,0.03144571667917706
2023-09-25,-0.005668241178105031,0.03089992318127585
2023-09-26,-0.014226173937204782,0.03024592177376164
2023-09-27,0.010725201444845792,0.02996705434049141
2023-09-28,0.028063350930814118,0.02994024161641145
2023-10-09,0.03817727146429565,0.03005464480874317
2023-10-10,0.035287579883300925,0.030126328850860404
2023-10-11,0.022283967768824676,0.03002035099840046
2023-10-12,0.012503473186996392,0.02978679262758174
2023-10-13,-0.005056960266740762,0.02932832219476171
2023-10-16,-0.01194776326757433,0.02879226913680929
2023-10-17,-0.03751041956098917,0.027942234666324693
2023-10-18,-0.039010836343428744,0.027094727438353134
2023-10-19,-0.013503751041956101,0.026587246457349268
2023-10-20,-0.03423173103639901,0.025836394883352373
2023-10-23,-0.06196165601555989,0.024765686945560764
2023-10-24,-0.05918310641844958,0.023754255700211238
2023-10-25,-0.07607668796888026,0.02256579208510301
2023-10-26,-0.08080022228396778,0.021349721327819822
2023-10-27,-0.04662406223951098,0.020559328495641557
2023-10-30,-0.005501528202278412,0.02025977841865397
2023-10-31,-0.01789385940539039,0.019826214352471647
2023-11-01,-0.009780494581828288,0.01949355470152446
2023-11-02,-0.006112809113642679,0.019209039548022604
2023-11-03,0.009613781606001669,0.01910359715305534
2023-11-06,0.08569046957488193,0.019827367505466497
2023-11-07,0.12081133648235624,0.02091321663425026
2023-11-08,0.1304806890803001,0.02207882804325079
2023-11-09,0.09297026951931094,0.022825053742998792
2023-11-10,0.08585718255070854,0.023481638418079098
2023-11-13,0.10691858849680469,0.024341813161158746
2023-11-14,0.14353987218671857,0.025558119885909357
2023-11-15,0.13031397610447348,0.02661625984771303
2023-11-16,0.08474576271186442,0.027197554876354547
2023-11-17,0.12358988607946655,0.028151934393217046
2023-11-20,0.11164212281189222,0.02897046565222366
2023-11-21,0.07135315365379273,0.029381948060005887
2023-11-22,0.02639622117254794,0.029353239147626484
2023-11-23,0.019727702139483196,0.029261567366596547
2023-11-24,0.014726312864684636,0.029124442324125678
2023-11-27,-0.030175048624617954,0.02857024147413742
2023-11-28,-0.021450402889691585,0.028107087359657522
2023-11-29,0.0188941372603501,0.028022564881682224
2023-11-30,0.0594053903862184,0.028307863295359826
2023-12-01,0.10030564045568216,0.028956491918425795
2023-12-04,0.06235065295915534,0.029254654070575165
2023-12-05,0.06596276743539872,0.029579504631325818
2023-12-06,0.06735204223395388,0.029910842680471676
2023-12-07,0.04328980272297861,0.030027181463449997
2023-12-08,0.013281467074187278,0.029882821856646008
2023-12-11,0.03834398444012226,0.029955139485564608
2023-12-12,0.06985273687135317,0.03029325471764756
2023-12-13,0.08680188941372605,0.030768117194085197
2023-12-14,0.07752153375937762,0.03115772899879597
2023-12-15,0.06635176437899419,0.03144858879532653
2023-12-18,0.0872464573492637,0.03190594837363749
2023-12-19,0.07140872464573493,0.032227109156337475
2023-12-20,0.1070853014726313,0.03283080425566242
2023-12-21,0.11414281744929149,0.033481300361211455
2023-12-22,0.09724923589886082,0.03398739508770073
2023-12-25,0.09213670464017785,0.0344452636668541
2023-12-26,0.1224228952486802,0.035132588913587115
2023-12-27,0.12314531814392889,0.03581485813242698
2023-12-28,0.06018338427340929,0.03600230833351145
2023-12-29,0.023061961656015564,0.035903527061164155
2024-01-02,0.049458182828563506,0.03600621384728082
2024-01-03,0.082745207001945,0.036357634848443704
2024-01-04,0.11064184495693251,0.03691199462537272
2024-01-05,0.12581272575715477,0.03757051855968222
2024-01-08,0.1383717699360934,0.0383117042315676
2024-01-09,0.15248680188941374,0.03914509910498253
2024-01-10,0.1644901361489303,0.040053396474866214
2024-01-11,0.1385940539038622,0.04076232206788057
2024-01-12,0.13503751041956102,0.041435716270392574
2024-01-15,0.1527090858571826,0.04222488910434144
2024-01-16,0.1693248124479022,0.04311995898704257
2024-01-17,0.18160600166712978,0.04408839285193829
2024-01-18,0.1440400111141984,0.044782501312092875
2024-01-19,0.14587385384829124,0.045479683053721826
2024-01-22,0.1428730202834121,0.04614676070597998
2024-01-23,0.1232008891358711,0.04667093845040101
2024-01-24,0.13264795776604615,0.047251864256587804
2024-01-25,0.11430953042511811,0.0477019157073833
2024-01-26,0.15037510419560993,0.04838640363063815
2024-01-29,0.16926924145596003,0.04918695222550783
2024-01-30,0.16737982772992502,0.04996453693277373
2024-01-31,0.19466518477354822,0.05091029280101409
2024-02-01,0.13170325090302865,0.05143492239907912
2024-02-02,0.19138649624895807,0.05233783577875576
2024-02-05,0.21733814948596836,0.05339553009739174
2024-02-06,0.1449847179772159,0.0539789007208301
2024-02-07,0.0755765490414004,0.054115594697542575
2024-02-08,0.048068908030008344,0.05407756522164613
2024-02-19,0.10986385106974161,0.054426229508196734
2024-02-20,0.12275632120033345,0.054850640015601304
2024-02-21,0.08263406501806059,0.055022142639073277
2024-02-22,0.11747707696582387,0.055405301745372365
2024-02-23,0.17515976660183388,0.056135511896936156
2024-02-26,0.1781050291747708,0.05687472109255939
2024-02-27,0.24362322867463188,0.05799971210208995
2024-02-28,0.19055293136982498,0.05879344395399256
2024-02-29,0.1988330091692137,0.05962701279455935
2024-03-01,0.21261461517088084,0.06053226487962633
2024-03-04,0.19105307029730484,0.06130003432325974
2024-03-05,0.1457071408724646,0.06179364313348901
2024-03-06,0.1518755209780495,0.06231737498142251
2024-03-07,0.11686579605445958,0.0626326837737522
2024-03-08,0.12797999444290084,0.06300824303047144
2024-03-11,0.15048624617949435,0.06350811733418013
2024-03-12,0.16743539872186722,0.06409861325115564
2024-03-13,0.18266185051403172,0.06476846204925098
2024-03-14,0.16143373159210894,0.06531152536128951
2024-03-15,0.19038621839399836,0.06601026666314823
2024-03-18,0.21511530980828014,0.0668386280139545
2024-03-19,0.20755765490414008,0.0676160812011931
2024-03-20,0.2030008335648792,0.06835995346692764
2024-03-21,0.19699916643512091,0.06906289998587951
2024-03-22,0.16832453459294253,0.06960236539135269
2024-03-25,0.14798555154209506,0.0700260582894648
2024-03-26,0.15370936371214228,0.07047596853367274
2024-03-27,0.13514865240344542,0.07082181176292288
2024-03-28,0.1457071408724646,0.07122013798159064
2024-03-29,0.15220894692970272,0.07164865019824732
2024-04-01,0.1787718810780773,0.07221245667656222
