window_size,history_window,total_return,annual_return,sharpe,max_drawdown,calmar,information_ratio,win_rate,excess_return,benchmark_return,data_points,cv_sharpe
20,20,0.11391223140649953,0.04264354877273768,0.2383245490258877,-0.20729191573239159,0.2057173750460649,-0.6939473297779303,0.45314900153609833,-0.15603010881403434,0.26994234022053387,651,-0.12021294303939166
20,30,0.1980429183521366,0.07244839538606107,0.4003801213377092,-0.21664853006134932,0.3344052016671682,-0.30107077240630314,0.4731182795698925,-0.07189942186839726,0.26994234022053387,651,-0.06938590547435225
20,40,0.25304040337757483,0.09124424015715138,0.5051122799150244,-0.21296611722003966,0.42844486882801414,-0.05490936607375323,0.48847926267281105,-0.016901936842959042,0.26994234022053387,651,-0.012380969599547556
20,50,0.3195609735070355,0.11331447712583342,0.6302774162074568,-0.21301334937401883,0.5319595107951218,0.22922451545347097,0.49923195084485406,0.04961863328650162,0.26994234022053387,651,0.08809531182344613
20,60,0.348151074836784,0.12259054213745935,0.6866271781557766,-0.2133539064834471,0.5745877549562021,0.3493339811588181,0.500768049155146,0.07820873461625011,0.26994234022053387,651,0.1764294963787603
20,70,0.3221016242871113,0.11414374885663081,0.6461579513580883,-0.21533979318070495,0.5300634275284444,0.2394794950824904,0.47619047619047616,0.05215928406657744,0.26994234022053387,651,0.15827902740440705
20,80,0.29868872974638605,0.10646440468633434,0.6087281344986235,-0.21797207776304017,0.4884313889142854,0.1345255412318107,0.47465437788018433,0.02874638952585218,0.26994234022053387,651,-0.15855155700655596
20,90,0.2903312256902386,0.10370263708059646,0.5965688117081083,-0.21938684695973776,0.4726930466329558,0.09507719623838874,0.45161290322580644,0.020388885469704743,0.26994234022053387,651,-0.20026632594513533
20,100,0.2822397325315922,0.10101830830811642,0.5831421445715584,-0.2194462366558011,0.46033283526553465,0.05702856951818534,0.45468509984639016,0.012297392311058308,0.26994234022053387,651,-0.2332104769169147
30,20,0.1555813283127443,0.057571837146980887,0.32766727700170223,-0.21580796443490646,0.2667734589765157,-0.4862325925106829,0.5069124423963134,-0.11436101190778958,0.26994234022053387,651,-0.2705108735253886
30,30,0.26496314199033266,0.09525189869855422,0.5420947979706917,-0.2267715700709506,0.42003456901035924,-0.013296391245765697,0.5161290322580645,-0.0049791982302012094,0.26994234022053387,651,-0.09004350440275768
30,40,0.30688209701427893,0.1091613784343084,0.617181167754872,-0.23410867883499686,0.4662850560582886,0.1570122981269844,0.5038402457757296,0.03693975679374506,0.26994234022053387,651,-0.01440525324620509
30,50,0.323950016807538,0.11474645299578956,0.6448678302869607,-0.23119278523531672,0.49632367584047354,0.2295980510954321,0.4930875576036866,0.054007676587004116,0.26994234022053387,651,0.015877135176271706
30,60,0.35016892190579285,0.12324065914655868,0.6913796568603571,-0.22135942609628934,0.5567445729324855,0.33597532015717013,0.47465437788018433,0.08022658168525898,0.26994234022053387,651,0.06578635255649279
30,70,0.3413298972517007,0.1203884452190207,0.6775924240999889,-0.2208871966255337,0.5450222876571392,0.30589927414899065,0.46697388632872505,0.07138755703116684,0.26994234022053387,651,-0.05396514779005862
30,80,0.3669123580704581,0.12861229066113422,0.7288051182636455,-0.22435728803358845,0.5732476613011998,0.41199825404274426,0.46697388632872505,0.0969700178499242,0.26994234022053387,651,-0.3383493786769507
30,90,0.36504821235623885,0.12801623733832712,0.7316439296236458,-0.2279702032756482,0.561548112423874,0.4062202267512088,0.46697388632872505,0.09510587213570498,0.26994234022053387,651,-0.36551140230785206
30,100,0.3652247259245418,0.12807269823855427,0.7363406171950354,-0.22615394649090892,0.5663075981019974,0.4079488796044071,0.4577572964669739,0.09528238570400793,0.26994234022053387,651,-0.3551881665052285
40,20,0.6582459150066007,0.21625711711362916,1.2393440077132394,-0.14465771051820375,1.494957415950637,1.433614384812121,0.522273425499232,0.3883035747860668,0.26994234022053387,651,0.5342493572996179
40,30,0.5835178249319526,0.19473999537652853,1.118607042085903,-0.17178736463871636,1.13361070405896,1.1804500676004541,0.4838709677419355,0.3135754847114187,0.26994234022053387,651,0.40874200838503527
40,40,0.5257583951351883,0.1776785066738078,1.014064431264104,-0.17689008040482113,1.0044571536582623,0.9866326732410143,0.4807987711213518,0.2558160549146544,0.26994234022053387,651,0.20972943107399097
40,50,0.5348214500605064,0.18038150877714876,1.0268979562019314,-0.1810139734473346,0.996505989796584,1.0143881211264565,0.4823348694316436,0.26487910983997254,0.26994234022053387,651,0.21281426241677703
40,60,0.4773513351649816,0.16307207345810837,0.9283050196304784,-0.184059028589321,0.8859770406697112,0.8179701533963145,0.4715821812596006,0.20740899494444776,0.26994234022053387,651,0.06144036276650919
40,70,0.45714362887637927,0.15688778822497684,0.894337679570106,-0.1823147067761145,0.8605328171228538,0.7450988119175718,0.4685099846390169,0.1872012886558454,0.26994234022053387,651,-0.002426121364652409
40,80,0.4309103439755999,0.14878053179164263,0.8530641040666651,-0.17945529740268062,0.8290673719026153,0.6449986258309949,0.4485407066052227,0.16096800375506604,0.26994234022053387,651,-0.12933824814192116
40,90,0.4002145538722104,0.13917764322821569,0.8031725782032461,-0.18697453620426452,0.7443668322630198,0.5300972321963572,0.42857142857142855,0.13027221365167652,0.26994234022053387,651,-0.18286266094353312
